id;title;genres;company;score;released_at
class-of-heroes-2;Class of Heroes 2;Role-Playing,Western-Style;Zerodiv / MonkeyPaw Games;77;1970-01-01 00:00:00.000000
class-of-heroes-3;Class of Heroes 3;Role-Playing,Western-Style;Zerodiv / MonkeyPaw Games;0;1970-01-01 00:00:00.000000
class-of-heroes;Class of Heroes;Role-Playing;Zerodiv;61;2009-06-09 00:00:00.000000
clock-zero-shuuen-no-ichibyou-portable;Clock Zero: Shuuen no Ichibyou Portable;Adventure,Visual Novel;;0;2011-10-13 00:00:00.000000
cloudy-with-a-chance-of-meatballs;Cloudy With a Chance of Meatballs;Action Adventure,General;Ubisoft Shanghai / Ubisoft;60;2009-09-18 00:00:00.000000
code_18;code_18;Adventure,Visual Novel;;0;2011-09-29 00:00:00.000000
coded-arms;Coded Arms;Adventure,3D,First-Person;;59;2005-07-06 00:00:00.000000
coded-arms-contagion;Coded Arms: Contagion;Adventure,3D,First-Person;Creat Studios / Konami;56;2007-09-18 00:00:00.000000
coded-arms-contagion;Coded Arms: Contagion;Adventure;Creat Studios;56;2007-09-18 00:00:00.000000
coded-soul-uketsugareshi-idea;Coded Soul: Uketsugareshi Idea;Role-Playing,Action RPG;Gaia (Sony) / SCEI;0;2008-02-07 00:00:00.000000
code-geass-lelouch-of-the-rebellion-lost-colors;Code Geass: Lelouch of the Rebellion: Lost Colors;Adventure,Visual Novel;Crafts & Meister / Bandai Namco Games;0;2008-03-27 00:00:00.000000
code-lyoko-quest-for-infinity;Code Lyoko: Quest for Infinity;Action,General;Neko Entertainment / The Game Factory;53;2008-07-21 00:00:00.000000
colin-mcrae-rally-2005;Colin McRae Rally 2005;Racing,Simulation,Automobile;Six by Nine / Codemasters;72;2005-09-01 00:00:00.000000
comic-party-portable;Comic Party Portable;Adventure,Visual Novel;;0;2005-12-29 00:00:00.000000
conception-please-have-my-children;Conception: Please Have My Children!;Role-Playing,Japanese-Style;;0;1970-01-01 00:00:00.000000
corpse-party-book-of-shadows;Corpse Party: Book of Shadows;Action Adventure,Survival;5pb / XSEED Games;67;2013-01-15 00:00:00.000000
corpse-party;Corpse Party;Action Adventure,Survival;Team GrisGris / XSEED Games;71;2011-11-22 00:00:00.000000
